Row Labels,Sum of Available Slots
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=01026409-ecd0-ec11-a9fb-f9ace7e5f016,13
3779 Jalan Bukit Merah #01-03 Singapore 159462,12
Virtual Red Box (ZOOM) Singapore 238165,1
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=04ea3b29-a2a3-ec11-a9fa-e4c9a5b6a377,16
Online Singapore 238165,16
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=05432389-88f6-ec11-a9fe-85070ef30829,9791
1 Stadium Drive Energy Centre Singapore 397629,9791
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=058cac31-6864-eb11-a9ea-a0e180fa5298,952
40 Scotts Road #14-00 Environment Building Singapore 228231,952
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=06c41b98-6093-eb11-a9ed-fcbf2374cac6,0
411B Jalan Mashhor Masjid Omar Salmah Singapore 299173,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=07e78704-4bda-ec11-aa01-f87a764abaad,1
31 Marina Park Singapore The Meadow Singapore 018953,0
"78 Airport Boulevard Jewel Changi Airport Singapore 819666, Event Venue: Jewel Changi Airport, Rain Vortex",0
"82 Palawan Beach Walk Palawan Green, Siloso Beach Walk, Sentosa Singapore 098236",1
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=0a43e2e4-99e4-ec11-a9fc-e34b68278fc6,20
111 Edgefield Plains HDB Singapore 820111,20
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=0ab7782f-40d0-ec11-aa00-beebdfe11d82,0
810 Bukit Batok West Avenue 5 Bukit Gombak Sports Centre Singapore 659088,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=0add5695-e092-eb11-a9ed-fcbf2374cac6,2
27B Jalan Mempurong Masjid Petempatan Melayu Sembawang Singapore 759055,2
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=0b74064e-a8f3-ec11-a9fe-85070ef30829,97
95 Hougang Avenue 4 Hougang Swimming Complex Singapore 538830,97
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=0c32a09e-31e2-ec11-a9fc-e34b68278fc6,0
5 Stadium Drive Ocbc Arena Singapore 397631,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=0f10be7d-dcd7-ec11-a9fc-e34b68278fc6,3
"329 Clementi Avenue 2 #01-248 Singapore 120329, SHINE Clementi Site",3
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=10ac253b-ede0-ec11-a9fc-e34b68278fc6,6
8 Stadium Walk Water Sports Centre Singapore 397699,6
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=13610c47-11ed-ec11-a9fd-f74269a6f56d,0
8 Marina Gardens Drive Marina Bay Areas Singapore 018951,0
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=137d87ef-4ff6-ea11-a9e7-bcd88e5db6b4,20
210 Jurong East Street 21 #01-389 Hdb-jurong East Singapore 600210,20
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=1438c68d-f0e5-ec11-a9fc-e34b68278fc6,1
1384 Ang Mo Kio Avenue 1 Bishan-Ang Mo Kio Park (River Plains) Singapore 569932,1
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=14812414-d0f2-ec11-aa03-eadca8c96776,1
11 Eunos Road 8 Lifelong Learning Institute Singapore 408601,1
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=14fb4c59-f992-ec11-a9f8-8430399f4244,69
113 Somerset Road The Red Box Singapore 238165,7
31 Chai Chee Avenue #01-180 ComLink Activity Space Singapore 461031,62
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=152d5e0e-41db-ec11-a9fc-e34b68278fc6,162
"20 Jurong West Street 93 Jurong West Sports & Recreation Centre Singapore 648965, Sport Hall",162
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=16924ff4-2ca5-ec11-a9ff-dc9750ca68cb,11
113 Somerset Road The Red Box Singapore 238165,10
317 Woodlands Street 31 #01-196 SAMH Creative SAY! Singapore 730317,1
https://www.volunteer.gov.sg/volunteer/opportunity/details/?id=177519fc-a2fe-ec11-a9ff-9d1555179c89,8
60 Pasir Ris Drive 1 Life Student Care - Park View Primary Singapore 519524,8
